rank,name,birth_date,death_date,age,place_of_death_or_residence,gender
1,Jeanne Calment,21 February 1875,4 August 1997,"122 years, 164 days",France,female
2,Kane Tanaka,2 January 1903,19 April 2022,"119 years, 107 days",Japan,female
3,Sarah Knauss,24 September 1880,30 December 1999,"119 years, 97 days",United States,female
4,Lucile Randon,11 February 1904,17 January 2023,"118 years, 340 days",France,female
5,Nabi Tajima,4 August 1900,21 April 2018,"117 years, 260 days",Japan,female
6,Marie-Louise Meilleur,29 August 1880,16 April 1998,"117 years, 230 days",Canada,female
7,Violet Brown,10 March 1900,15 September 2017,"117 years, 189 days",Jamaica,female
8,Emma Morano,29 November 1899,15 April 2017,"117 years, 137 days",Italy,female
9,Chiyo Miyako,2 May 1901,22 July 2018,"117 years, 81 days",Japan,female
10,Delphia Welford,9 September 1875,14 November 1992,"117 years, 66 days",United States,female
11,Misao Okawa,5 March 1898,1 April 2015,"117 years, 27 days",Japan,female
12,Francisca Celsa dos Santos,21 October 1904,5 October 2021,"116 years, 349 days",Brazil,female
13,María Capovilla,14 September 1889,27 August 2006,"116 years, 347 days",Ecuador,female
14,Susannah Mushatt Jones,6 July 1899,12 May 2016,"116 years, 311 days",United States,female
15,Maria Branyas,4 March 1907,Living,"116 years, 289 days",Spain,female
16,Gertrude Weaver,4 July 1898,6 April 2015,"116 years, 276 days",United States,female
17,Fusa Tatsumi,25 April 1907,12 December 2023,"116 years, 231 days",Japan,female
18,Antonia da Santa Cruz,13 June 1905,23 January 2022,"116 years, 224 days",Brazil,female
19,Tane Ikai,18 January 1879,12 July 1995,"116 years, 175 days",Japan,female
20,Jeanne Bot,14 January 1905,22 May 2021,"116 years, 128 days",France,female
21,Elizabeth Bolden,15 August 1890,11 December 2006,"116 years, 118 days",United States,female
22,Besse Cooper,26 August 1896,4 December 2012,"116 years, 100 days",United States,female
23,Maria Giuseppa Robucci,20 March 1903,18 June 2019,"116 years, 90 days",Italy,female
24,Tekla Juniewicz,10 June 1906,19 August 2022,"116 years, 70 days",Poland,female
25,Ana María Vela Rubio,29 October 1901,15 December 2017,"116 years, 47 days",Spain,female
26,Giuseppina Projetto,30 May 1902,6 July 2018,"116 years, 37 days",Italy,female
27,Jeralean Talley,23 May 1899,17 June 2015,"116 years, 25 days",United States,female
28,Shigeyo Nakachi,1 February 1905,11 January 2021,"115 years, 345 days",Japan,female
29,Maggie Barnes,6 March 1882,19 January 1998,"115 years, 319 days",United States,female
